,index,ticker,Company name
161,LYB.N,LYB,LYONDELLBASELL INDUSTRIES CL A ORD
162,IBM.N,IBM,INTL BUSINESS MACHINES CORP ORD
163,IQV.N,IQV,IQVIA HOLDINGS INC ORD
164,VRTX.OQ,VRTX,VERTEX PHARMACEUTICALS ORD
165,DXCM.OQ,DXCM,DEXCOM ORD
166,CERN.OQ,CERN,CERNER ORD
167,PEP.OQ,PEP,PEPSICO U ORD
168,AOS.N,AOS,A O SMITH ORD
169,BLK.N,BLK,BLACKROCK ORD
170,ABMD.OQ,ABMD,ABIOMED ORD
171,HII.N,HII,HUNTINGTON INGALLS INDUSTRIES ORD
172,CVS.N,CVS,CVS HEALTH CORP
173,PH.N,PH,PARKER HANNIFIN ORD
174,NSC.N,NSC,NORFOLK SOUTHERN ORD
175,MSFT.OQ,MSFT,MICROSOFT-T ORD
176,HWM.N,HWM,HOWMET AEROSPACE INC ORD
177,BAX.N,BAX,BAXTER INTL ORD
178,HUM.N,HUM,HUMANA ORD
179,ZBH.N,ZBH,ZIMMER BIOMET HOLDINGS INC
180,TDY.N,TDY,TELEDYNE TECH ORD
181,GILD.OQ,GILD,GILEAD SCIENCES ORD
182,CMA.N,CMA,COMERICA ORD
183,NOC.N,NOC,NORTHROP GRUMMAN ORD
184,PNW.N,PNW,PINNACLE WEST ORD
185,BFb.N,BF.B,BROWN FORMAN CL B ORD
186,DE.N,DE,DEERE ORD
187,HSY.N,HSY,HERSHEY FOODS ORD
188,GL.N,GL,GLOBE LIFE ORD
189,SLB.N,SLB,SCHLUMBERGER ORD
190,AWK.N,AWK,AMERICAN WATER WORKS ORD
191,PKG.N,PKG,PACKAGING CORP OF AMERICA ORD
192,FLT.N,FLT,FLEETCOR TECHNOLOGIES ORD
193,ADI.OQ,ADI,ANALOG DEVICES ORD
194,MMC.N,MMC,MARSH AND MCLENNAN ORD
195,IT.N,IT,GARTNER ORD
196,ECL.N,ECL,ECOLAB ORD
197,BXP.N,BXP,BOSTON PROPERTIES REIT
198,GE.N,GE,GENERAL ELECTRIC ORD
199,ED.N,ED,CONSOLIDATED EDISON ORD
200,BKR.N,BKR,BAKER HUGHES ORD A
201,ALLE.N,ALLE,ALLEGION PLC
202,OTIS.N,OTIS,OTIS WORLDWIDE CORP ORD
203,WFC.N,WFC,WELLS FARGO ORD
204,CTVA.N,CTVA,CORTEVA INC ORD
205,FTV.N,FTV,FORTIVE CORP ORD
206,AEE.N,AEE,AMEREN ORD
207,PRU.N,PRU,PRUDENTIAL FINL ORD
208,DLTR.OQ,DLTR,DOLLAR TREE ORD
209,CF.N,CF,CF INDUSTRIES HOLDINGS ORD
210,NEE.N,NEE,NEXTERA ENERGY ORD
211,FMC.N,FMC,FMC ORD
212,ILMN.OQ,ILMN,ILLUMINA ORD
213,KLAC.OQ,KLAC,KLA CORPORATION ORD
214,AME.N,AME,AMETEK ORD
215,XLNX.OQ,XLNX,XILINX ORD
216,NUE.N,NUE,NUCOR ORD
217,WU.N,WU,WESTERN UNION ORD
218,D.N,D,DOMINION ENERGY ORD
219,SJM.N,SJM,JM SMUCKER ORD
220,EMR.N,EMR,EMERSON ELECTRIC ORD
221,DVA.N,DVA,DAVITA INC ORD
222,CMS.N,CMS,CMS ENERGY ORD
223,HPE.N,HPE,HEWLETT PACKARD ENTERPRISE ORD
224,RHI.N,RHI,ROBERT HALF ORD
225,BDX.N,BDX,BECTON DICKINSON ORD
226,AAP.N,AAP,ADVANCE AUTO PARTS ORD
227,MGM.N,MGM,MGM RESORTS ORD
228,ALGN.OQ,ALGN,ALIGN TECHNOLOGY ORD
229,SRE.N,SRE,SEMPRA ENERGY ORD
230,REGN.OQ,REGN,REGENERON PHARMACEUTICALS ORD
231,EFX.N,EFX,EQUIFAX ORD
232,USB.N,USB,US ORD
233,HCA.N,HCA,HCA HEALTHCARE ORD
234,AVGO.OQ,AVGO,BROADCOM LIMITED ORD
235,DHR.N,DHR,DANAHER ORD
236,NWSA.OQ,NWSA,NEWS ORD SHS CL A
237,RTX.N,RTX,RAYTHEON TECHNOLOGIES CORPORD
238,AAPL.OQ,AAPL,APPLE ORD
239,CME.OQ,CME,CME GROUP CL A ORD
240,MRO.N,MRO,MARATHON OIL ORD
241,ADM.N,ADM,ARCHER DANIELS ORD
242,APD.N,APD,AIR PRODUCTS AND CHEMICALS ORD
243,FANG.OQ,FANG,DIAMONDBACK ENERGY ORD SHS
244,WRB.N,WRB,WR BERKLEY ORD
245,AXP.N,AXP,AMERICAN EXPRESS ORD
246,CLX.N,CLX,CLOROX ORD
247,DOV.N,DOV,DOVER ORD
248,MTB.N,MTB,M&T BANK ORD
249,FDX.N,FDX,FEDEX ORD
250,TROW.OQ,TROW,T ROWE PRICE ORD
251,DRE.N,DRE,DUKE REALTY REIT
252,JKHY.OQ,JKHY,JACK HENRY AND ASSOCIATES ORD
253,O.N,O,REALTY INCOME REIT
254,MLM.N,MLM,MARTIN MARIETTA ORD
255,PKI.N,PKI,PERKINELMER ORD
256,TWTR.N,TWTR,TWITTER ORD SHS
257,L.N,L,LOEWS ORD
258,QCOM.OQ,QCOM,QUALCOMM ORD
259,PENN.OQ,PENN,PENN NATIONAL GAMING ORD
260,IPG.N,IPG,INTERPUBLIC GROUP OF COMPANIES ORD
261,PHM.N,PHM,PULTEGROUP ORD
262,ANSS.OQ,ANSS,ANSYS ORD
263,PBCT.OQ,PBCT,PEOPLES UNITED FINANCIAL ORD
264,ULTA.OQ,ULTA,ULTA BEAUTY ORD
265,KO.N,KO,COCA-COLA ORD
266,FISV.OQ,FISV,FISERV ORD
267,CSCO.OQ,CSCO,CISCO-T ORD
268,WLTW.OQ,WLTW,WILLIS TOWERS WATSON ORD
269,ANET.N,ANET,ARISTA NETWORKS
270,ES.N,ES,EVERSOURCE ENERGY
271,CTAS.OQ,CTAS,CINTAS ORD
272,GPN.N,GPN,GLOBL PAYMNTS
273,RSG.N,RSG,REPUBLIC SVCS ORD
274,MCK.N,MCK,MCKESSON ORD
275,HLT.N,HLT,HILTON INC ORD
276,NFLX.OQ,NFLX,NETFLIX ORD
277,RF.N,RF,REGIONS FINANCL ORD
278,WMT.N,WMT,WALMART INC ORD
279,AMGN.OQ,AMGN,AMGEN-T ORD
280,KIM.N,KIM,KIMCO REALTY REIT
281,PXD.N,PXD,PIONEER NATIONAL RESOURCE ORD
282,DG.N,DG,DOLLAR GENERAL ORD
283,XRAY.OQ,XRAY,DENTSPLY SIRONA ORD
284,EQR.N,EQR,EQUITY RESIDENTIAL REIT
285,URI.N,URI,UNITED RENTALS ORD
286,TDG.N,TDG,TRANSDIGM GROUP ORD
287,CNC.N,CNC,CENTENE ORD
288,NKE.N,NKE,NIKE INC -CL B ORD
289,AES.N,AES,AES ORD
290,ANTM.N,ANTM,ANTHEM INC
291,GWW.N,GWW,WW GRAINGER ORD
292,K.N,K,KELLOGG ORD
293,GOOGL.OQ,GOOGL,ALPHABET INC-CL A ORD
294,GM.N,GM,GENERAL MOTORS ORD
295,CCI.N,CCI,CROWN CASTLE INTERNATIONAL ORD
296,COF.N,COF,CAPITAL ONE FINANCIAL ORD
297,ROP.N,ROP,ROPER TECHNOLOGIES INC
298,C.N,C,CITIGROUP ORD
299,ODFL.OQ,ODFL,OLD DOMINION ORD
